Document_ID,Clean_Text,Sentiment
433,christoph nolan done,Neutral
434,great movi,Positive
435,sound edit real hero film,Positive
436,awesom expect,Neutral
437,bore,Neutral
438,modern masterpiec except like minut,Positive
439,anoth brilliant nolan deliveri,Positive
440,lose memori three hour,Neutral
441,oscar worthi,Neutral
442,simpli except,Neutral
443,absolut must see,Neutral
444,christoph nolan becom prankster,Neutral
445,peopl call bore watch someth el,Neutral
446,pretti good emot grey,Positive
447,unpopular view bore,Neutral
448,complic life j robert oppenheim,Neutral
449,misconcept blown away film deserv long run time,Negative
450,haunt tale haunt triumph,Neutral
451,there noth wors histori wrong side,Negative
452,overal,Neutral
453,christoph nolan make best film yet cillian murphi deliv outstand perform,Positive
454,usual christoph nolan movi,Negative
455,openheim sushi cinema,Neutral
456,best film,Positive
457,long confus dispar mess,Negative
458,chri nolan continu war cinemago buttock,Neutral
459,peak cinema,Neutral
460,score win,Positive
461,christoph nolan oppenheim transcend cinemat boundari captiv blend histori scienc emot,Neutral
462,except work art,Neutral
463,masterpiec movi centuri,Neutral
464,good great,Positive
465,nolan stay away histor product,Neutral
466,oh god,Neutral
467,lot,Neutral
468,bore,Neutral
469,brilliant,Positive
470,one best movi simpli outstand,Positive
471,nolan best work ever movi decad,Positive
472,cinemat masterpiec,Neutral
473,wow differ nolan approach leav stuck chair,Positive
474,cinemat masterpiec,Neutral
475,expect,Neutral
476,absolut masterpiec,Neutral
477,fall nolan,Neutral
478,that even good movi,Positive
479,great film easi watch,Positive
480,nolan geniu,Neutral
481,christoph nolan strike,Neutral
482,piec auster beauti cinema,Neutral
483,must see,Neutral
484,made otheroppi oppi oppi,Neutral
485,confusionheim,Neutral
486,highlight nolan career,Neutral
487,doesnt deserv anyth higher imdb,Positive
488,definit overr,Neutral
489,biographi documentari,Neutral
490,truli epic,Positive
491,oppenheim nolan magnum opu,Neutral
492,wow,Positive
493,good movi,Positive
494,incred,Neutral
495,mani good actor lost pretenti mess,Positive
496,fantast,Neutral
497,better tenet guess,Positive
498,bloat artless big disappoint,Neutral
499,incred,Neutral
500,top notch cinema,Positive
501,nolan best work yet,Positive
502,brilliant portrait scientif geniu,Positive
503,becom death destroy world,Negative
504,movi year,Neutral
505,meh,Neutral
506,oppenheimeran import tough watch,Negative
507,four major flaw vastli overprais film,Positive
508,visual spectacl intens court room drama,Neutral
509,claim bright spot cinema histori,Positive
510,chang life,Neutral
511,wonder craft,Neutral
512,christoph nolan made masterpiec,Neutral
513,wow film,Positive
514,rare hand ten,Positive
515,difficult digest even read american prometheu,Negative
516,must watch absolut phenomen done,Neutral
517,someth want rewatch,Neutral
518,bore mind,Neutral
519,artist biopic,Neutral
520,movi,Neutral
521,beauti movi,Neutral
522,truli thriller,Neutral
523,chri never disappoint,Neutral
524,good film mayb someday ill regain hear,Positive
525,physic stori,Neutral
526,dialogu day,Neutral
527,dont let gaslight,Neutral
528,perfect cimemat experi imax,Positive
529,master piec,Neutral
530,anoth masterpiec,Neutral
531,christoph nolan master,Neutral
532,histori never ceas amaz,Neutral
533,oppenheim biograph thriller,Neutral
534,moment bit slow,Negative
535,compel thought provok biopic,Neutral
536,overhyp good,Positive
537,mani long stretch stake,Negative
538,simpl review,Neutral
539,review,Neutral
540,nolan tackl biopic,Neutral
541,prometheus god oppenheim human,Neutral
542,american prometheu,Neutral
543,thrill uniqu cinemat experi,Neutral
544,world longest trailer,Neutral
545,epic eyeopen account creation atom bomb,Positive
546,nolan need reign bit,Neutral
547,expect except robert downey jr character,Neutral
548,father atom bomb fission,Neutral
549,dull movi masterpiec other,Negative
550,worth watch let down,Positive
551,tale prometheu ozymandia,Neutral
552,mesmer slow burn nolan brilliant oppenheim,Positive
553,unintend father atom bomb,Neutral
554,overcook,Neutral
555,sharpen brain learn art ot patient understand actual art,Neutral
556,someon tell truth,Neutral
557,good,Positive
558,good masterpiec,Positive
559,barbenheim,Neutral
560,speechless,Neutral
561,top nolan film oat,Positive
562,perfect,Positive
563,import film watch especi new context uap disclosur,Positive
564,captiv intrigu difficult stop watch,Negative
565,oppenheim wikipedia dump,Neutral
566,run dont walk see movi,Neutral
567,dont confus like,Neutral
568,avoid,Neutral
569,christoph nolan magnum opu,Neutral
570,masterpiec christoph nolan one mean,Negative
571,simpl,Neutral
572,good complic,Positive
573,long interest realli dutch,Negative
574,must watch theatr,Neutral
575,dont get love,Positive
576,cinema,Neutral
577,polit bomb,Neutral
578,didnt entertain inform,Neutral
579,nolan done,Neutral
580,brilliant direct documentri drama,Positive
581,thoughtprovok glimps histori human ethic dilemma,Neutral
582,war histori,Neutral
583,aweinspir theatric experi,Neutral
584,masterpiec,Neutral
585,impress,Neutral
586,nolan,Neutral
587,indigest,Neutral
588,talk talk talk,Neutral
589,great histor movi produc right time,Positive
590,beyond anyth ever experienc theater,Neutral
591,oscar worthi film perform,Neutral
592,run manhattan project,Neutral
593,decent experi still perfect,Positive
594,epic matur spectacl,Positive
595,one best movi ever made,Positive
596,expect much nolan epic scene,Positive
597,masterpiec,Neutral
598,great stori poorli told,Positive
599,beyond bore,Neutral
600,serious,Negative
601,oppenheim,Neutral
602,best movi year,Positive
603,good work,Positive
604,noth el say,Neutral
605,took day realiz extraordinari,Neutral
606,marvel win oscar challeng watch,Positive
607,clinic biopic lack soul,Neutral
608,absorb extrem wellact fascin subject,Negative
609,good somewhat overr,Positive
610,bore bore bore,Neutral
611,great perform sound much ado use cgi,Positive
612,better typic nolan fare,Positive
613,watch oppenheim,Neutral
614,absolut masterpiec,Neutral
615,becom death destroy world,Negative
616,despit hype incred,Neutral
617,great movi event drawn bore,Positive
618,heartpound experi,Neutral
619,well done much one film,Positive
620,brilliant act brilliant movi,Positive
621,truli existenti crisi give film,Neutral
622,lot,Neutral
623,masterpiec intend audienc,Neutral
624,cillian least get nomin,Negative
625,movi made realiz everyon turn littl kid,Neutral
626,greatest cinemat event life,Positive
627,brilliant film,Positive
628,fairli good movi right overr,Positive
629,christoph nolan dazzl u product base true event impact mind like other,Negative
630,check watch,Neutral
631,anoth miss opportun,Neutral
632,oppenheim masterpiecebut,Neutral
633,beauti work seen,Neutral
634,stun thoughtprovok brilliant,Positive
635,nolan masterpiec,Neutral
636,brilliant filmmak,Positive
637,brillanttio excepion watch,Neutral
638,dont expect tradit nolan thrill,Neutral
639,dont get unnecessari hype,Neutral
640,well made left bit flat,Negative
641,one nolan best work,Positive
642,oscar,Neutral
643,move compel film,Neutral
644,destroy world,Negative
645,hear music,Neutral
646,interest issu,Neutral
647,good overhyp long bore,Positive
648,beauti made movi,Neutral
649,jumpi loud,Positive
650,dont believ hype,Neutral
651,one favourit movi,Neutral
652,man gave power destroy,Negative
653,equival interstellar,Neutral
654,film make best,Positive
655,love,Positive
656,great movi,Positive
657,good great edit sound star,Positive
658,go watch unravel masterpiec,Neutral
659,shallow movi deep subject,Negative
660,pretenti overr,Neutral
661,multi oscar pictur,Neutral
662,wolrd oppenheim,Neutral
663,oppenheim take guilt trip mind scientist,Neutral
664,oppenheim gener titan cinema,Neutral
665,perfect,Positive
666,beauti,Neutral
667,drama movi turn mysteri,Neutral
668,best movi ever seen,Positive
669,horribl dialogu sound issu,Positive
670,convolut score long detriment didnt live hype,Positive
671,good movi,Positive
672,incred polit drama light spoiler,Positive
673,master work master director,Neutral
674,beauti relentless inspir,Neutral
675,rare uniqu experi,Positive
676,amaz movi,Neutral
677,expect much,Positive
678,oppenheim captiv cinemat journey histori dark secret,Negative
679,admit bit disappoint,Neutral
680,documentarynot movi,Neutral
681,hold breath cillian murphi spectacular,Positive
682,amaz,Neutral
683,immers experi,Neutral
684,possibl best film ever seen,Positive
685,masterpiec,Neutral
686,documentari reinvent nolan,Neutral
687,dont care get oscar anymor,Neutral
688,win award,Positive
689,minut long,Negative
690,boooor,Neutral
691,masterpiec,Neutral
692,thoughtprovok film,Neutral
693,true classic futur,Positive
694,expens movi fail speak proper dutch one minut,Negative
695,well made film,Neutral
696,absolut masterpiec,Neutral
697,,Neutral
698,easi without doubt,Neutral
699,nolan expect way much fan,Positive
700,nolan style kind stori,Positive
701,oppenheim cinemat marvel stellar perform,Positive
702,struggl man intellig good,Positive
703,cinemat masterpiec captiv unforgett,Neutral
704,coukd take eye screen,Neutral
705,amaz,Neutral
706,best act cinematographi ive seen long long time,Positive
707,destroy world,Negative
708,potenti brilliant film spoilt much loud background music,Positive
709,intrigu film focus viewer,Neutral
710,damn decent autobiographi wow massiv overr expect much,Positive
711,thrill seeker bewar one bore dud,Neutral
712,bad great,Positive
713,snooz fest dont think,Neutral
714,j robert oppenheim illumin brillianc,Neutral
715,best film,Positive
716,hole rip open cant breath,Neutral
717,im histori fan,Neutral
718,chain reaction,Neutral
719,good thing bad thing bit disappoint,Positive
720,father atom,Neutral
721,expect definit imax worthi,Neutral
722,piec trash salt great actor,Positive
723,stori need told,Neutral
724,truli masterpiec,Neutral
725,treat scienc histori lover,Neutral
726,human amaz terrifi,Neutral
727,beauti,Neutral
728,oppenheim stand one decad captiv film serv remind cinema endeavor requir hard work persever,Negative
729,choppi distract direct,Positive
730,except,Neutral
731,bad great either,Positive
732,nolan tri best still biographi,Positive
733,best two except,Positive
734,nolan masterclass,Neutral
735,one nolan best perhap person import film,Positive
736,nolan epic effort,Positive
737,captiv complex film one histori influenti figur,Negative
738,masterpiec,Neutral
739,mix bag nolan,Neutral
740,great movi,Positive
741,go grain,Neutral
742,main theme film,Positive
743,bomb good entertain,Positive
744,good movi,Positive
745,amaz intrigu slight downsid,Negative
746,nolan absolut highest capac,Neutral
747,brilliant film may find bore,Positive
748,phenomen,Neutral
749,well act well shot fall short,Neutral
750,greatest movi year,Positive
751,long uneven,Negative
752,complic movi complic man,Neutral
753,murphi brilliant,Positive
754,nolan magnum opu,Neutral
755,nolan best far,Positive
756,classic nolan art,Positive
757,strong movi stori want see,Positive
758,masterpiec everi sen word,Neutral
759,long wind,Negative
760,bore,Neutral
761,christoph nolan deliv,Neutral
762,easili greatest film year,Positive
763,intellectu stimul,Neutral
764,except film best year,Positive
765,spectacular film,Positive
766,extraordinari,Neutral
767,your seek action drama cgi move,Positive
768,certainli hope film wakeup call,Neutral
769,looooonnnngggg,Neutral
770,movi netflix cinema disappoint,Neutral
771,got amaz,Neutral
772,father atom bomb,Neutral
773,cinema,Neutral
774,movi year,Neutral
775,nolan magnum opu cinephil wet dream,Negative
776,forev rememb first time watch oppenheim,Positive
777,bore movi selfindulg hr trailer best,Positive
778,masterpiec,Neutral
779,cinema masterpiec,Neutral
780,bioepic,Neutral
781,perfect,Positive
782,mind explod,Neutral
783,wow power engaga movi,Positive
784,good movi excel actor nolan bit disappoint,Positive
785,j robert oppenheim martyr,Neutral
786,good technic great emot land short classic,Positive
787,bore af,Neutral
788,exemplari movi,Neutral
789,shaken masterpiec everi sen word,Neutral
790,brilliant perform brilliant direct multipl view requir,Positive
791,oppenheim simpli best film one nolan best work,Positive
792,lewi strauss meet theoret physic godzilla,Neutral
793,good film great film there masterpiec latter,Positive
794,overli long overr,Negative
795,breathtak,Neutral
796,men talkingth movi,Neutral
797,ridicul rate,Neutral
798,nolan masterpiec,Neutral
799,involv epic,Positive
800,best movi ever,Positive
801,oppenheim intern struggl man duti husband patriot scientist human,Neutral
802,brilliantli act film written edit deliv,Neutral
803,oscar blockbust imax film,Neutral
804,decent great,Positive
805,spectacular,Positive
806,serious overr,Negative
807,call nolan rather oppenheim make rate higher,Positive
808,magnific,Neutral
809,oppenheim simpli blown mind,Neutral
810,long last never bore,Negative
811,simpli cinemat masterpiec,Neutral
812,deserv oscar winner,Neutral
813,without shadow doubt christoph nolan best film sinc releas incept,Positive
814,goodbut great,Positive
815,visual spectacl revolut cinema recent year courtesi mr nolan,Neutral
816,barbenheim barbi ken diffus abomb,Neutral
817,bore watch long trailer favorit actor shake hand,Negative
818,oppenheim magnum opu intellectu excel,Neutral
819,sir christoph nolan man love never freak disappoint hype movi sir,Positive
820,see cinema,Neutral
821,experi,Neutral
822,stun,Neutral
823,mesmer masterpiec mr nolan take bow sir,Neutral
824,stylist annoy,Neutral
825,oppenheim fast pace histori movi extrem long runtim,Positive
826,visual stun somewhat breathless,Neutral
827,commi commi,Neutral
828,man chang world cinema,Neutral
829,ever rate film one,Neutral
830,power,Neutral
831,interstellar one nolan best work,Positive
832,best movi ive seen long time,Positive
833,import film ever made,Neutral
834,didnt match expect,Neutral
835,nolan done,Neutral
836,oppenheim overhyp epic fall short expect overstay welcom,Positive
837,tell stori god sake,Neutral
838,cinematograph wet dream,Negative
839,,Neutral
840,defenit worth,Positive
841,spectacular feat filmmak,Positive
842,incred import movi,Neutral
843,devastatingli beauti,Neutral
844,possibl bomb bomb,Neutral
845,best movi seen mani year,Positive
846,second watch alway best nolan skip exhaust part,Positive
847,unimpress,Neutral
848,total disappoint,Neutral
849,pretti much perfect,Positive
850,aweinspir triumph christoph nolan oppenheim,Neutral
851,wow,Positive
852,masterpiec,Neutral
853,nolanmurphi masterpiec,Neutral
854,meh okish part problemat subtext,Neutral
855,import part histori,Neutral
856,starstud cast bring dialog heavi biopic,Neutral
857,well market snooz fest,Neutral
858,cinemat integr,Neutral
859,cinema viscer form,Neutral
860,modern day masterpiec,Positive
861,ramus malek,Neutral
862,one nolan best,Positive
863,bombast cinema experi,Neutral
864,one win,Positive
865,like go mine,Neutral
866,anoth win christoph nolan,Positive
867,well tad rate,Neutral
868,bore attempt creat sympathi villain,Neutral
869,film even better nd time,Positive
870,favorit christoph nolan movi,Neutral
871,cinema personifi incred movi,Neutral
872,best film,Positive
873,unforgett work geniu,Neutral
874,nolan best film date,Positive
875,expect,Neutral
876,jewel nolan filmographi,Neutral
877,went see quot peopl silent film,Neutral
878,rather watch parent go sit,Neutral
879,master imax experi,Neutral
880,astound special effect,Positive
881,magnific cinematographi,Neutral
882,timeless masterpiec,Neutral
883,best realli best,Positive
884,go cinema,Neutral
885,hard dedic book,Negative
886,one best,Positive
887,dud,Neutral
888,end nolan,Neutral
889,grab hold demand keep,Neutral
890,first film covid actual deliv,Positive
891,great experi,Positive
892,deserv best pictur,Positive
893,nolan best movi,Positive
894,honey made donkey mouth,Neutral
895,jumbl storytel relev messag,Neutral
896,compel thoughtprovok,Neutral
897,fine craft well present tiresom,Positive
898,bore disjoint renam floppenheim,Neutral
